´point_spawn_player_001´ ElementPlayerSpawner 100325
	position 51.2563, 776.256, -350
		6 ´ai_spawn_civilian_006´
		7 ´ai_spawn_civilian_007´
		8 ´ai_spawn_civilian_008´
		9 ´ai_spawn_civilian_009´
		10 ´ai_spawn_civilian_010´
	ignore_disabled False
	position -225, 1275, 1866.08
	random True
	rotation 0, 0, 5.96046E-08, -1
	team default
´point_fleepoint_001´ ElementFleePoint 101986
	functionality flee_point
	position 300, -1875, 475
´point_fleepoint_002´ ElementFleePoint 101987
	functionality flee_point
	position -1450, 4025, 475
´FleePoints´ MissionScriptElement 101988
	on_executed
		´point_fleepoint_002´ (delay 0)
		´point_fleepoint_001´ (delay 0)
		´SpawnInitialPolice´ (delay 0)
		´point_fleepoint_003´ (delay 0)
		´point_fleepoint_004´ (delay 0)
´Setup_PlayerSpawns´ MissionScriptElement 101650
	on_executed
		´point_spawn_player_002´ (delay 0)
		´point_spawn_player_001´ (delay 0)
		´point_spawn_player_003´ (delay 0)
		´point_spawn_player_004´ (delay 0)
		´Setup_HideStuff´ (delay 1)
´point_special_objective_005´ ElementSpecialObjective 101998
	action_duration_max 0
	action_duration_min 0
	ai_group enemies
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
	forced False
	chance_inc 0
	interaction_voice none
	interrupt_dis 0
	interrupt_dmg 1
	interrupt_objective False
	interval -1
	is_navigation_link False
	needs_pos_rsrv True
	no_arrest False
	path_haste run
	path_stance cbt
	path_style destination
	patrol_path none
	pose none
	position 2000, -500, 850
	repeatable False
	rotation 0, 0, -0.707107, -0.707107
	scan True
	search_distance 0
	search_position 1975 75 850
	SO_access 960
	so_action AI_sniper
	trigger_on none
	use_instigator True
´ai_spawn_enemy_016´ ElementSpawnEnemyDummy 101729
	TRIGGER TIMES 1
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_swat_1/ene_swat_1
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai False
	position 4150, 25, 850
	rotation 0, 0, 0, -1
	spawn_action none
	team default
	voice 0
	on_executed
		´point_special_objective_008´ (delay 0)
´point_special_objective_006´ ElementSpecialObjective 101730
	action_duration_max 0
	action_duration_min 0
	ai_group enemies
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
	forced False
	chance_inc 0
	interaction_voice none
	interrupt_dis 0
	interrupt_dmg 1
	interrupt_objective False
	interval -1
	is_navigation_link False
	needs_pos_rsrv True
	no_arrest False
	path_haste run
	path_stance cbt
	path_style destination
	patrol_path none
	pose none
	position 1975, 75, 850
	repeatable False
	rotation 0, 0, -0.707107, -0.707107
	scan True
	search_distance 0
	search_position 1975 75 850
	SO_access 640
	so_action AI_sniper
	trigger_on none
	use_instigator True
´AwakeMarksmen´ ElementAreaTrigger 101732
	TRIGGER TIMES 1
	amount 1
	depth 500
	height 500
	instigator player
	instigator_name 
	interval 0.1
	position -250, -1525, 194
	radius 250
	rotation 0, 0, 0, -1
	rules_element_ids
	shape_type box
	spawn_unit_elements
	trigger_on on_enter
	unit_ids
	use_disabled_shapes False
	use_shape_element_ids
	width 500
´ai_enemy_trigger_002´ ElementEnemyDummyTrigger 101930
	elements
 		1 ´ai_spawn_enemy_016´
		2 ´ai_spawn_enemy_015´
		3 ´ai_spawn_enemy_014´
		4 ´ai_spawn_enemy_013´
		5 ´ai_spawn_enemy_039´
		6 ´ai_spawn_enemy_040´
		7 ´ai_spawn_enemy_041´
		8 ´ai_spawn_enemy_042´
	event spawn
	position 4225, 350, 900
	rotation 0, 0, 0, -1
	on_executed
		´logic_counter_operator_001´ (delay 0)
´logic_random_006´ ElementRandom 101995
	amount 1
	amount_random 0
	ignore_disabled True
	on_executed
		´ai_spawn_enemy_016´ (delay 0)
		´ai_spawn_enemy_015´ (delay 0)
		´ai_spawn_enemy_014´ (delay 0)
		´ai_spawn_enemy_013´ (delay 0)
		´ai_spawn_enemy_039´ (delay 0)
		´ai_spawn_enemy_040´ (delay 0)
		´ai_spawn_enemy_041´ (delay 0)
		´ai_spawn_enemy_042´ (delay 0)
´point_special_objective_007´ ElementSpecialObjective 101994
	action_duration_max 0
	action_duration_min 0
	ai_group enemies
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
	forced False
	chance_inc 0
	interaction_voice none
	interrupt_dis 0
	interrupt_dmg 1
	interrupt_objective False
	interval -1
	is_navigation_link False
	needs_pos_rsrv True
	no_arrest False
	path_haste run
	path_stance cbt
	path_style destination
	patrol_path none
	pose none
	position 1975, 1075, 850
	repeatable False
	rotation 0, 0, -0.707107, -0.707107
	scan True
	search_distance 0
	search_position 1975 75 850
	SO_access 640
	so_action AI_sniper
	trigger_on none
	use_instigator True
´point_special_objective_008´ ElementSpecialObjective 101996
	action_duration_max 0
	action_duration_min 0
	ai_group enemies
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
	forced False
	chance_inc 0
	interaction_voice none
	interrupt_dis 0
	interrupt_dmg 1
	interrupt_objective False
	interval -1
	is_navigation_link False
	needs_pos_rsrv True
	no_arrest False
	path_haste run
	path_stance cbt
	path_style destination
	patrol_path none
	pose none
	position 1975, 1950, 850
	repeatable False
	rotation 0, 0, -0.707107, -0.707107
	scan True
	search_distance 0
	search_position 1975 75 850
	SO_access 640
	so_action AI_sniper
	trigger_on none
	use_instigator True
´point_waypoint_001´ ElementWaypoint 101997
	icon pd2_goto
	only_in_civilian False
	position -2800, 1800, 600
	rotation 0, 0, 0, -1
	text_id debug_none
´point_waypoint_002´ ElementWaypoint 101999
	DISABLED
	icon pd2_lootdrop
	only_in_civilian False
	position 3127, -460, 550
	rotation 0, 0, 0.130526, -0.991445
	text_id debug_none
´WPEscapeVan01´ ElementWaypoint 102000
	DISABLED
	BASE DELAY 2
	icon pd2_lootdrop
	only_in_civilian False
	position 1283.03, 3438.19, 550
	rotation 0, 0, -0.0871558, -0.996195
	text_id debug_none
´Prefer´ ElementEnemyPreferedAdd 101922
	spawn_groups
		1 ´ai_enemy_group_003´
		2 ´ai_enemy_group_004´
		3 ´ai_enemy_group_002´
´Difficulty_0.50´ ElementDifficulty 101926
	difficulty 0.5
	position -700, 1025, 1866.08
	rotation 0, 0, 0.707107, -0.707107
´point_area_min_police_force_001´ ElementAreaMinPoliceForce 101927
	DISABLED
	amount 6
	position 2475, 1100, -300
	rotation 0, 0, 0, -1
´WPEscapeVan02´ ElementWaypoint 101442
	DISABLED
	icon pd2_lootdrop
	only_in_civilian False
	position -650, -1000, 593
	rotation 0, 0, 0.662923, -0.748688
	text_id debug_none
´MissionEndTrigger´ ElementAreaTrigger 102087
	DISABLED
	TRIGGER TIMES 1
	amount all
	depth 675
	height 214
	instigator player
	instigator_name 
	interval 0.1
	position 1699, 3450, 550
	radius 250
	rotation 0, 0, 0, -1
	rules_element_ids
	shape_type box
	spawn_unit_elements
	trigger_on on_enter
	unit_ids
	use_disabled_shapes False
	use_shape_element_ids
	width 730
	on_executed
		´TextYouWin´ (delay 0)
		´YOUWIN´ (delay 1)
		´point_teammate_comment_001´ (delay 0)
		´beforeYouWin´ (delay 0)
´LootBagArea´ ElementAreaTrigger 102354
	DISABLED
	amount 1
	depth 150
	height 100
	instigator loot
	instigator_name 
	interval 0.1
	position 1413.26, 3446.39, 550
	radius 250
	rotation 0, 0, -0.0460305, -0.99894
	rules_element_ids
	shape_type box
	spawn_unit_elements
	trigger_on on_enter
	unit_ids
	use_disabled_shapes False
	use_shape_element_ids
	width 300
	on_executed
		´LootBagSecure´ (delay 0)
´LootBagFreeze´ ElementCarry 102356
	operation freeze
	type_filter none
´LootBagSecure´ ElementCarry 102355
	operation secure
	type_filter none
	on_executed
		´secured_bag_link´ (delay 0)
		´LootBagFreeze´ (delay 2)
´MinForceAreaOn´ ElementAreaTrigger 101381
	amount 1
	depth 4000
	height 300
	instigator player
	instigator_name 
	interval 0.1
	position 1350, 1650, -200
	radius 250
	rotation 0, 0, 0, -1
	rules_element_ids
	shape_type box
	spawn_unit_elements
	trigger_on on_enter
	unit_ids
	use_disabled_shapes False
	use_shape_element_ids
	width 6500
	on_executed
		´MinForceToggleOn´ (delay 0) DISABLED
´MinForceAreaOff´ ElementAreaTrigger 101382
	amount 1
	depth 5000
	height 300
	instigator player
	instigator_name 
	interval 0.1
	position 1350, 700, 200
	radius 250
	rotation 0, 0, 0, -1
	rules_element_ids
	shape_type box
	spawn_unit_elements
	trigger_on on_exit
	unit_ids
	use_disabled_shapes False
	use_shape_element_ids
	width 6500
	on_executed
		´MinForceToggleOff_2´ (delay 0) DISABLED
´MinForceBottomLevelOn´ ElementToggle 102368
	elements
 		1 ´point_area_min_police_force_001´ DISABLED
	set_trigger_times -1
	toggle on
	on_executed
		´point_debug_006´ (delay 0)
´MinForceToggleOn´ MissionScriptElement 102369
	DISABLED
	on_executed
		´MinForceBottomLevelOn´ (delay 0)
´MinForceMidLevelOn´ ElementToggle 102371
	elements
 		1 ´point_area_min_police_force_002´ DISABLED
	set_trigger_times -1
	toggle on
	on_executed
		´point_debug_004´ (delay 0)
´MinForceTopLevelOn´ ElementToggle 102373
	elements
 		1 ´point_area_min_police_force_003´ DISABLED
	set_trigger_times -1
	toggle on
	on_executed
		´point_debug_001´ (delay 0)
´point_area_min_police_force_002´ ElementAreaMinPoliceForce 102374
	DISABLED
	amount 1
	position 1225, -525, 75
	rotation 0, 0, 0, -1
´point_area_min_police_force_003´ ElementAreaMinPoliceForce 102375
	DISABLED
	amount 6
	position 1800, 1950, 500
	rotation 0, 0, 0, -1
´MinForceToggleOff´ MissionScriptElement 102376
	DISABLED
	on_executed
		´MinForceBottomLevelOff´ (delay 0)
´MinForceToggleOn_2´ MissionScriptElement 102370
	DISABLED
	on_executed
		´MinForceMidLevelOn´ (delay 0)
´MinForceToggleOff_2´ MissionScriptElement 102372
	DISABLED
	on_executed
		´MinForceMidLevelOff´ (delay 0)
´MinForceToggleOn_3´ MissionScriptElement 102377
	DISABLED
	on_executed
		´MinForceTopLevelOn´ (delay 0)
´MinForceToggleOff_3´ MissionScriptElement 102378
	DISABLED
	on_executed
		´ai_spawn_civilian_020´ (delay 0)
		´MinForceTopLevelOff´ (delay 0)
´MinForceMidLevelOff´ ElementToggle 102379
	elements
 		1 ´point_area_min_police_force_002´ DISABLED
	set_trigger_times -1
	toggle off
	on_executed
		´point_debug_003´ (delay 0)
´MinForceBottomLevelOff´ ElementToggle 102380
	elements
 		1 ´point_area_min_police_force_001´ DISABLED
	set_trigger_times -1
	toggle off
	on_executed
		´point_debug_005´ (delay 0)
´MinForceTopLevelOff´ ElementToggle 102381
	elements
 		1 ´point_area_min_police_force_003´ DISABLED
	set_trigger_times -1
	toggle off
	on_executed
		´point_debug_002´ (delay 0)
´point_debug_001´ ElementDebug 102382
	as_subtitle False
	debug_string MinForceTopLevel *** On ***
	show_instigator False
´point_debug_002´ ElementDebug 102383
	as_subtitle False
	debug_string MinForceTopLevel *** Off ***
	show_instigator False
´point_debug_003´ ElementDebug 102384
	as_subtitle False
	debug_string MinForceMidLevel *** Off ***
	show_instigator False
´point_debug_004´ ElementDebug 102385
	as_subtitle False
	debug_string MinForceMidLevel *** On ***
	show_instigator False
´point_debug_005´ ElementDebug 102386
	as_subtitle False
	debug_string MinForceBottomLevel *** Off ***
	show_instigator False
´point_debug_006´ ElementDebug 102387
	as_subtitle False
	debug_string MinForceBottomLevel *** On ***
	show_instigator False
´MinForceAreaOff_2´ ElementAreaTrigger 102389
	amount 1
	depth 6000
	height 300
	instigator player
	instigator_name 
	interval 0.1
	position 1750, 1150, 600
	radius 250
	rotation 0, 0, 0, -1
	rules_element_ids
	shape_type box
	spawn_unit_elements
	trigger_on on_exit
	unit_ids
	use_disabled_shapes False
	use_shape_element_ids
	width 6500
	on_executed
		´MinForceToggleOff_3´ (delay 0) DISABLED
´MinForceAreaOn_2´ ElementAreaTrigger 102390
	amount 1
	depth 6000
	height 300
	instigator player
	instigator_name 
	interval 0.1
	position 1750, 1200, 600
	radius 250
	rotation 0, 0, 0, -1
	rules_element_ids
	shape_type box
	spawn_unit_elements
	trigger_on on_enter
	unit_ids
	use_disabled_shapes False
	use_shape_element_ids
	width 6500
	on_executed
		´MinForceToggleOn_3´ (delay 0) DISABLED
´MinForceAreaOn_3´ ElementAreaTrigger 102391
	amount 1
	depth 5000
	height 300
	instigator player
	instigator_name 
	interval 0.1
	position 1350, 750, 200
	radius 250
	rotation 0, 0, 0, -1
	rules_element_ids
	shape_type box
	spawn_unit_elements
	trigger_on on_enter
	unit_ids
	use_disabled_shapes False
	use_shape_element_ids
	width 6500
	on_executed
		´MinForceToggleOn_2´ (delay 0) DISABLED
´MinForceAreaOff_3´ ElementAreaTrigger 102392
	amount 1
	depth 4000
	height 300
	instigator player
	instigator_name 
	interval 0.1
	position 1350, 1600, -200
	radius 250
	rotation 0, 0, 0, -1
	rules_element_ids
	shape_type box
	spawn_unit_elements
	trigger_on on_enter
	unit_ids
	use_disabled_shapes False
	use_shape_element_ids
	width 6500
	on_executed
		´MinForceToggleOff´ (delay 0) DISABLED
´ai_area_001´ ElementAIArea 102411
	nav_segs
		1 12
		2 13
	position 1150, 2200, 500
´ai_area_002´ ElementAIArea 102412
	nav_segs
		1 3
		2 11
	position -600, 2250, 519
´AIAreas´ MissionScriptElement 102413
	on_executed
		´ai_area_001´ (delay 0)
		´ai_area_002´ (delay 0)
		´FleePoints´ (delay 0)
´point_loot_bag_001´ ElementLootBag 101649
	carry_id none
	from_respawn False
	position -300, 1100, -300
	rotation 0, 0, -0.515729, -0.856752
´point_loot_bag_002´ ElementLootBag 102415
	carry_id none
	from_respawn False
	position -200, 1500, -300
	rotation 0, 0, -0.537037, -0.843559
´point_loot_bag_003´ ElementLootBag 102416
	carry_id none
	from_respawn False
	position -3.0331, 896.967, -311
	rotation 0, 0, -0.382683, -0.92388
´point_loot_bag_004´ ElementLootBag 102417
	carry_id none
	from_respawn False
	position 200, 1200, -300
	rotation 0, 0, 1, -8.9407E-08
´point_loot_bag_005´ ElementLootBag 102418
	carry_id none
	from_respawn False
	position 200, 1500, -300
	rotation 0, 0, 0.92388, 0.382683
´point_loot_bag_006´ ElementLootBag 102419
	carry_id none
	from_respawn False
	position -400, 900, -300
	rotation 0, 0, 0.965147, 0.26171
´point_loot_bag_007´ ElementLootBag 102420
	carry_id none
	from_respawn False
	position -300, 1400, -300
	rotation 0, 0, 0.985018, 0.17245
´point_loot_bag_008´ ElementLootBag 102421
	carry_id none
	from_respawn False
	position -57.1491, 764.203, -350
	rotation 0, 0, 0.190971, -0.981596
´point_loot_bag_009´ ElementLootBag 102422
	carry_id none
	from_respawn False
	position 100, 1400, -300
	rotation 0, 0, 1, -5.96046E-08
´point_loot_bag_010´ ElementLootBag 102423
	carry_id none
	from_respawn False
	position 400, 1400, -300
	rotation 0, 0, 1, -5.96046E-08
´point_loot_bag_011´ ElementLootBag 102424
	carry_id none
	from_respawn False
	position -200, 1300, -281
	rotation 0, 0, -0.785651, -0.61867
´point_loot_bag_012´ ElementLootBag 102425
	carry_id none
	from_respawn False
	position -500, 1400, -300
	rotation 0, 0, -0.35345, -0.935453
´point_loot_bag_013´ ElementLootBag 102426
	carry_id none
	from_respawn False
	position -400, 1300, -300
	rotation 0, 0, -0.489092, -0.872232
´point_loot_bag_014´ ElementLootBag 102427
	carry_id none
	from_respawn False
	position 100, 1100, -300
	rotation 0, 0, 1, -5.96046E-08
´point_loot_bag_015´ ElementLootBag 102428
	carry_id none
	from_respawn False
	position 400, 1500, -300
	rotation 0, 0, -0.382683, -0.92388
´Setup_Loot´ MissionScriptElement 102444
	on_executed
		´Setup_Escape´ (delay 10)
		´Enable_Loot_Bags´ (delay 0)
´Setup_Escape´ MissionScriptElement 102445
	on_executed
		´RandomizeEscape´ (delay 0)
		´Setup_MissionTime_Link´ (delay 10)
		´escape_obj_and_vo´ (delay 0)
´RandomizeEscape´ ElementRandom 102408
	amount 1
	amount_random 0
	ignore_disabled True
	on_executed
		´02´ (delay 0)
		´03´ (delay 0)
		´01´ (delay 0) DISABLED
´01´ MissionScriptElement 102409
	DISABLED
	on_executed
		´SetupVan_2´ (delay 0)
		´enable_esc1´ (delay 0)
		´undefinied_req_loot´ (delay 0)
		´no_req_loot´ (delay 0)
´02´ MissionScriptElement 102410
	on_executed
		´SetupVan´ (delay 0)
		´enable_esc2´ (delay 0)
		´undefinied_req_loot´ (delay 0)
		´no_req_loot´ (delay 0)
		´point_debug_009´ (delay 0)
´03´ MissionScriptElement 102429
	on_executed
		´SetupVan_3´ (delay 0)
		´enable_esc3´ (delay 0)
		´no_req_loot´ (delay 0)
		´undefinied_req_loot´ (delay 0)
		´point_debug_010´ (delay 0)
´SetupVan´ MissionScriptElement 102449
	on_executed
		´ShowVanAndExit_2´ (delay 0)
		´EnableOpenDoorArea´ (delay 0)
		´DisableOtherExits_2´ (delay 0)
		´func_disable_unit_002´ (delay 0)
		´lootwp002´ (delay 0)
´EnableLootArea´ ElementToggle 102453
	elements
 		1 ´LootBagArea´ DISABLED
	set_trigger_times -1
	toggle on
´OpenVanDoor´ ElementUnitSequence 102456
	position -600, 375, 1866.08
	rotation 0, 0, 0.707107, -0.707107
	trigger_list
		1
			id 1
			name run_sequence
			notify_unit_id units/payday2/vehicles/str_vehicle_van_player/str_vehicle_van_player/001 (1518, 3463, 450)
			notify_unit_sequence anim_door_rear_both_open
			time 0
´SetupVan_2´ MissionScriptElement 102457
	on_executed
		´EnableOpenVanDoorArea´ (delay 0)
		´ShowVanAndExit´ (delay 0)
		´DisableOtherExits´ (delay 0)
		´func_nav_obstacle_001´ (delay 0)
		´func_nav_obstacle_004´ (delay 0) DISABLED
		´lootwp001´ (delay 0)
´VanDoorAreaTrigger´ ElementAreaTrigger 102458
	DISABLED
	TRIGGER TIMES 1
	amount 1
	depth 500
	height 250
	instigator player
	instigator_name 
	interval 0.1
	position -300, 3425, 575
	radius 250
	rotation 0, 0, 0, -1
	rules_element_ids
	shape_type box
	spawn_unit_elements
	trigger_on on_enter
	unit_ids
	use_disabled_shapes False
	use_shape_element_ids
	width 500
	on_executed
		´VanDoorAreaTrigger_2´ (delay 0)
´EnableOpenVanDoorArea´ ElementToggle 102459
	elements
 		1 ´VanDoorAreaTrigger´ DISABLED
	set_trigger_times -1
	toggle on
´VanDoorAreaTrigger_2´ MissionScriptElement 102448
	on_executed
		´EnableLootArea´ (delay 0)
		´OpenVanDoor´ (delay 0)
´ShowVanAndExit´ ElementEnableUnit 102460
	position -650, 575, 1866.08
	rotation 0, 0, 0.707107, -0.707107
	unit_ids
		1 units/payday2/vehicles/str_vehicle_van_player/str_vehicle_van_player/001 (1518, 3463, 450)
´func_disable_unit_001´ ElementDisableUnit 102461
	position -606, 2296, 1875
	rotation 0, 0, 0.707107, -0.707107
	unit_ids
		1 units/world/architecture/gym/gym_wall_fence/gym_wall_fence_40/025 (2734, -100, 450)
		2 units/world/architecture/gym/gym_wall_fence/gym_wall_fence_40/026 (2734, -500, 450)
		3 units/payday2/vehicles/str_vehicle_car_police_washington/str_vehicle_car_police_washington/005 (4397.43, -784.915, 450)
		4 units/payday2/vehicles/str_vehicle_car_police_washington/str_vehicle_car_police_washington/006 (4775, -275, 430)
		5 units/payday2/vehicles/str_vehicle_van_player/str_vehicle_van_player/001 (1518, 3463, 450)
		6 units/payday2/vehicles/str_vehicle_van_player/str_vehicle_van_player/002 (-650, -1225, 468)
		7 units/payday2/vehicles/str_vehicle_van_player/str_vehicle_van_player/003 (3367.01, -457.455, 450)
		8 units/payday2/props/str_prop_park_fence/str_prop_park_fence_gate_open/002 (-300, 3081, 469)
		9 units/payday2/props/str_prop_park_fence/str_prop_park_fence_gate_open/001 (-721, -1713, 468)
´Setup_HideStuff´ MissionScriptElement 102462
	on_executed
		´func_sequence_001´ (delay 0)
		´Setup_NavLinks´ (delay 0)
´func_sequence_001´ ElementUnitSequence 102463
	position -706, 2296, 1875
	rotation 0, 0, 0.707107, -0.707107
	trigger_list
		1
			id 1
			name run_sequence
			notify_unit_id units/payday2/props/gen_prop_square_goal_marker_7x55/gen_prop_square_goal_marker_7x55/EscapeArea01 (1616, 3458, 450)
			notify_unit_sequence hide
			time 0
		2
			id 2
			name run_sequence
			notify_unit_id units/payday2/props/gen_prop_square_goal_marker_7x4/gen_prop_square_goal_marker_7x4/EscapeArea02 (-717, -1307, 468)
			notify_unit_sequence hide
			time 0
		3
			id 3
			name run_sequence
			notify_unit_id units/payday2/props/gen_prop_square_goal_marker_7x55/gen_prop_square_goal_marker_7x55/EscapeArea03 (3475.01, -498.455, 450)
			notify_unit_sequence hide
			time 0
		4
			id 4
			name run_sequence
			notify_unit_id units/payday2/equipment/gen_interactable_door_reinforced/gen_interactable_door_reinforced/001 (2045, 1502, 469)
			notify_unit_sequence state_door_close
			time 0
		5
			id 5
			name run_sequence
			notify_unit_id units/payday2/equipment/gen_interactable_door_reinforced/gen_interactable_door_reinforced/001 (2045, 1502, 469)
			notify_unit_sequence activate_door
			time 0
		6
			id 6
			name run_sequence
			notify_unit_id units/payday2/equipment/gen_interactable_door_reinforced/gen_interactable_door_reinforced/002 (-503.999, -1655, 69)
			notify_unit_sequence state_door_close
			time 0
		7
			id 7
			name run_sequence
			notify_unit_id units/payday2/equipment/gen_interactable_door_reinforced/gen_interactable_door_reinforced/002 (-503.999, -1655, 69)
			notify_unit_sequence activate_door
			time 0
		8
			id 8
			name run_sequence
			notify_unit_id units/payday2/equipment/gen_interactable_door_reinforced/gen_interactable_door_reinforced/004 (297, -1150, 468)
			notify_unit_sequence activate_door
			time 0
		9
			id 9
			name run_sequence
			notify_unit_id units/payday2/equipment/gen_interactable_door_reinforced/gen_interactable_door_reinforced/004 (297, -1150, 468)
			notify_unit_sequence state_door_close
			time 0
	on_executed
		´func_disable_unit_001´ (delay 1)
		´DisableNavDoor01´ (delay 2)
		´DisableNavDoor02´ (delay 2)
		´func_nav_obstacle_006´ (delay 1)
		´func_nav_obstacle_008´ (delay 0)
´ShowGoalMarking´ ElementUnitSequence 102464
	position 550, 900, 1850
	rotation 0, 0, 0, -1
	trigger_list
		1
			id 1
			name run_sequence
			notify_unit_id units/payday2/props/gen_prop_square_goal_marker_7x55/gen_prop_square_goal_marker_7x55/EscapeArea01 (1616, 3458, 450)
			notify_unit_sequence show
			time 0
´TextYouWin´ ElementDebug 102465
	as_subtitle False
	debug_string You win!
	show_instigator False
´ShowVanAndExit_2´ ElementEnableUnit 102451
	position -450, 575, 1866.08
	rotation 0, 0, 0.707107, -0.707107
	unit_ids
		1 units/payday2/vehicles/str_vehicle_van_player/str_vehicle_van_player/002 (-650, -1225, 468)
		2 units/payday2/props/str_prop_park_fence/str_prop_park_fence_gate_open/001 (-721, -1713, 468)
´EnableOpenDoorArea´ ElementToggle 102454
	elements
 		1 ´VanDoorAreaTrigger_5´ DISABLED
	set_trigger_times -1
	toggle on
´VanDoorAreaTrigger_3´ MissionScriptElement 102467
	on_executed
		´EnableLootArea_2´ (delay 0)
		´OpenVanDoor_2´ (delay 0)
´ShowGoalMarking_2´ ElementUnitSequence 102468
	position 350, 900, 1850
	rotation 0, 0, 0, -1
	trigger_list
		1
			id 1
			name run_sequence
			notify_unit_id units/payday2/props/gen_prop_square_goal_marker_7x4/gen_prop_square_goal_marker_7x4/EscapeArea02 (-717, -1307, 468)
			notify_unit_sequence show
			time 0
´OpenVanDoor_2´ ElementUnitSequence 102469
	position -400, 375, 1866.08
	rotation 0, 0, 0.707107, -0.707107
	trigger_list
		1
			id 1
			name run_sequence
			notify_unit_id units/payday2/vehicles/str_vehicle_van_player/str_vehicle_van_player/002 (-650, -1225, 468)
			notify_unit_sequence anim_door_rear_both_open
			time 0
´EnableLootArea_2´ ElementToggle 102470
	elements
 		1 ´LootBagArea001´ DISABLED
	set_trigger_times -1
	toggle on
´ShowVanAndExit_3´ ElementEnableUnit 102447
	position -250, 575, 1866.08
	rotation 0, 0, 0.707107, -0.707107
	unit_ids
		1 units/payday2/vehicles/str_vehicle_van_player/str_vehicle_van_player/003 (3367.01, -457.455, 450)
´SetupVan_3´ MissionScriptElement 102452
	on_executed
		´ShowVanAndExit_3´ (delay 0)
		´EnableOpenDoorArea_2´ (delay 0)
		´DisableOtherExits_3´ (delay 0)
		´func_nav_obstacle_003´ (delay 0)
		´func_nav_obstacle_005´ (delay 0)
		´lootwp003´ (delay 0)
´EnableOpenDoorArea_2´ ElementToggle 102471
	elements
 		1 ´VanDoorAreaTrigger_6´ DISABLED
	set_trigger_times -1
	toggle on
´VanDoorAreaTrigger_4´ MissionScriptElement 102472
	on_executed
		´OpenVanDoor_3´ (delay 0)
		´EnableLootArea_3´ (delay 0)
´ShowGoalMarking_3´ ElementUnitSequence 102473
	position 150, 900, 1850
	rotation 0, 0, 0, -1
	trigger_list
		1
			id 1
			name run_sequence
			notify_unit_id units/payday2/props/gen_prop_square_goal_marker_7x55/gen_prop_square_goal_marker_7x55/EscapeArea03 (3475.01, -498.455, 450)
			notify_unit_sequence show
			time 0
´OpenVanDoor_3´ ElementUnitSequence 102474
	position -200, 375, 1866.08
	rotation 0, 0, 0.707107, -0.707107
	trigger_list
		1
			id 1
			name run_sequence
			notify_unit_id units/payday2/vehicles/str_vehicle_van_player/str_vehicle_van_player/003 (3367.01, -457.455, 450)
			notify_unit_sequence anim_door_rear_both_open
			time 0
´EnableLootArea_3´ ElementToggle 102475
	elements
 		1 ´LootBagArea_2´ DISABLED
	set_trigger_times -1
	toggle on
´MissionEndArea´ ElementAreaTrigger 102476
	DISABLED
	TRIGGER TIMES 1
	amount all
	depth 422,5
	height 244
	instigator player
	instigator_name 
	interval 0.1
	position -706, -1320, 568
	radius 250
	rotation 0, 0, -0.707107, -0.707107
	rules_element_ids
	shape_type box
	spawn_unit_elements
	trigger_on on_enter
	unit_ids
	use_disabled_shapes False
	use_shape_element_ids
	width 718.106
	on_executed
		´TextYouWin_2´ (delay 0)
		´YOUWIN´ (delay 1)
		´point_teammate_comment_001´ (delay 0)
		´beforeYouWin´ (delay 0)
´LootBagArea001´ ElementAreaTrigger 102477
	DISABLED
	amount 1
	depth 175,565
	height 131
	instigator loot
	instigator_name 
	interval 0.1
	position -650, -1135, 593
	radius 250
	rotation 0, 0, 0.712204, -0.701972
	rules_element_ids
	shape_type box
	spawn_unit_elements
	trigger_on on_enter
	unit_ids
	use_disabled_shapes False
	use_shape_element_ids
	width 321.847
	on_executed
		´func_carry_009´ (delay 0)
		´func_carry_010´ (delay 0)
		´func_carry_011´ (delay 0)
		´func_carry_012´ (delay 0)
		´func_carry_013´ (delay 0)
		´func_carry_014´ (delay 0)
		´func_carry_016´ (delay 0)
		´func_carry_015´ (delay 0)
		´LootBagSecure_2´ (delay 0)
´LootBagSecure_2´ ElementCarry 102479
	operation secure
	type_filter none
	on_executed
		´secured_bag_link´ (delay 0)
		´LootBagFreeze_2´ (delay 2)
´LootBagFreeze_2´ ElementCarry 102480
	operation remove
	type_filter none
´TextYouWin_2´ ElementDebug 102481
	as_subtitle False
	debug_string You Win!
	show_instigator False
´VanDoorAreaTrigger_5´ ElementAreaTrigger 102483
	DISABLED
	TRIGGER TIMES 1
	amount 1
	depth 1200
	height 250
	instigator player
	instigator_name 
	interval 0.1
	position -900, -1100, 568
	radius 250
	rotation 0, 0, 0, -1
	rules_element_ids
	shape_type box
	spawn_unit_elements
	trigger_on on_enter
	unit_ids
	use_disabled_shapes False
	use_shape_element_ids
	width 800
	on_executed
		´VanDoorAreaTrigger_3´ (delay 0)
´MissionEndArea_2´ ElementAreaTrigger 100743
	DISABLED
	TRIGGER TIMES 1
	amount all
	depth 607,2
	height 214
	instigator player
	instigator_name 
	interval 0.1
	position 3606, -511, 550
	radius 250
