´logic_link_006´ MissionScriptElement 100174
´logic_link_007´ MissionScriptElement 100175
´point_special_objective_005´ ElementSpecialObjective 100191
	action_duration_max 20
	rotation 0, 0, 0.707107, -0.707107
	scan True
	search_distance 0
	search_position 1754,97 -2019,96 1127,5
	SO_access 512
	so_action AI_sniper
	trigger_on none
	use_instigator True
´so_sniper_013´ ElementSpecialObjective 101452
	action_duration_max 0
	action_duration_min 0
	ai_group enemies
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
	chance_inc 0
	interaction_voice none
	interrupt_dis 0
	interrupt_dmg 0
	interrupt_objective False
	interval -1
	needs_pos_rsrv False
	path_haste run
	path_stance cbt
	path_style destination
	patrol_path none
	pose crouch
	position 2347, -2428, 1120
	rotation 0, 0, 0.707107, -0.707107
	scan True
	search_distance 0
	search_position 1819,58 -2855,76 1131,22
	SO_access 512
	so_action AI_sniper
	trigger_on none
	use_instigator True
´so_sniper_014´ ElementSpecialObjective 101464
	action_duration_max 0
	action_duration_min 0
	ai_group enemies
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
	chance_inc 0
	interaction_voice none
	interrupt_dis 0
	interrupt_dmg 0
	interrupt_objective False
	interval -1
	needs_pos_rsrv False
	path_haste run
	path_stance cbt
	path_style destination
	patrol_path none
	pose crouch
	position 1832, -3331, 1120
	rotation 0, 0, 0.707107, -0.707107
	scan True
	search_distance 0
	search_position 1818,9 -3033,51 1133,75
	SO_access 512
	so_action AI_sniper
	trigger_on none
	use_instigator True
´so_sniper_015´ ElementSpecialObjective 101468
	action_duration_max 0
	action_duration_min 0
	ai_group enemies
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
	chance_inc 0
	interaction_voice none
	interrupt_dis 0
	interrupt_dmg 0
	interrupt_objective False
	interval -1
	needs_pos_rsrv False
	path_haste run
	path_stance cbt
	path_style destination
	patrol_path none
	pose crouch
	position 2409, -3727, 1122
	rotation 0, 0, 0.707107, -0.707107
	scan True
	search_distance 0
	search_position 2386,17 -3815,02 1120,61
	SO_access 512
	so_action AI_sniper
	trigger_on none
	use_instigator True
´so_sniper_016´ ElementSpecialObjective 101473
	action_duration_max 0
	action_duration_min 0
	ai_group enemies
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
	chance_inc 0
	interaction_voice none
	interrupt_dis 0
	interrupt_dmg 0
	interrupt_objective False
	interval -1
	needs_pos_rsrv False
	path_haste run
	path_stance cbt
	path_style destination
	patrol_path none
	pose crouch
	position 2413, -4472, 1122
	rotation 0, 0, 0.707107, -0.707107
	scan True
	search_distance 0
	search_position 2326,12 -4392,86 1120,61
	SO_access 512
	so_action AI_sniper
	trigger_on none
	use_instigator True
´point_special_objective_014´ ElementSpecialObjective 101489
	action_duration_max 12
	action_duration_min 8
	ai_group none
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
		1 ´point_special_objective_047´
	forced True
	chance_inc 0
	interaction_voice none
	interrupt_dis -1
	interrupt_dmg 0
	interrupt_objective False
	interval -1
	needs_pos_rsrv True
	path_haste none
	path_stance none
	path_style none
	patrol_path none
	pose none
	position 1975, 375, 0
	rotation 0, 0, 1, -1.19209E-07
	scan True
	search_distance 0
	search_position -1525 250 0
	SO_access 24
	so_action e_so_ntl_idle_brush
	trigger_on none
	use_instigator True
´point_special_objective_047´ ElementSpecialObjective 101490
	action_duration_max 12
	action_duration_min 8
	ai_group none
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
		1 ´point_special_objective_048´
	forced True
	chance_inc 0
	interaction_voice none
	interrupt_dis -1
	interrupt_dmg 0
	interrupt_objective False
	interval -1
	needs_pos_rsrv True
	path_haste none
	path_stance none
	path_style none
	patrol_path none
	pose none
	position 2925, 1125, 100
	rotation 0, 0, 0.707107, -0.707107
	scan True
	search_distance 0
	search_position -1525 250 0
	SO_access 24
	so_action e_so_ntl_idle_brush
	trigger_on none
	use_instigator True
´point_special_objective_048´ ElementSpecialObjective 101491
	action_duration_max 12
	action_duration_min 8
	ai_group none
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
		1 ´point_special_objective_049´
	forced True
	chance_inc 0
	interaction_voice none
	interrupt_dis -1
	interrupt_dmg 0
	interrupt_objective False
	interval -1
	needs_pos_rsrv True
	path_haste none
	path_stance none
	path_style none
	patrol_path none
	pose none
	position 2050, 1375, 100
	rotation 0, 0, -0.382684, -0.923879
	scan True
	search_distance 0
	search_position -1525 250 0
	SO_access 24
	so_action e_so_ntl_idle_brush
	trigger_on none
	use_instigator True
´point_special_objective_049´ ElementSpecialObjective 101492
	action_duration_max 12
	action_duration_min 8
	ai_group none
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
		1 ´point_special_objective_051´
	forced True
	chance_inc 0
	interaction_voice none
	interrupt_dis -1
	interrupt_dmg 0
	interrupt_objective False
	interval -1
	needs_pos_rsrv True
	path_haste none
	path_stance none
	path_style none
	patrol_path none
	pose none
	position 1700, 1625, 100
	rotation 0, 0, -0.707107, -0.707107
	scan True
	search_distance 0
	search_position -1525 250 0
	SO_access 24
	so_action e_so_ntl_idle_brush
	trigger_on none
	use_instigator True
´point_special_objective_050´ ElementSpecialObjective 101493
	action_duration_max 12
	action_duration_min 8
	ai_group none
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
		1 ´point_special_objective_051´
	chance_inc 0
	interaction_voice none
	interrupt_dis -1
	interrupt_dmg 0
	interrupt_objective False
	interval -1
	needs_pos_rsrv True
	path_haste none
	path_stance none
	path_style none
	patrol_path none
	pose none
	position 2050, 1875, 100
	rotation 0, 0, 0.923879, -0.382684
	scan True
	search_distance 0
	search_position -1525 250 0
	SO_access 24
	so_action e_so_ntl_idle_brush
	trigger_on none
	use_instigator True
´point_special_objective_051´ ElementSpecialObjective 101494
	action_duration_max 12
	action_duration_min 8
	ai_group none
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
		1 ´point_special_objective_014´
	forced True
	chance_inc 0
	interaction_voice none
	interrupt_dis -1
	interrupt_dmg 0
	interrupt_objective False
	interval -1
	needs_pos_rsrv True
	path_haste none
	path_stance none
	path_style none
	patrol_path none
	pose none
	position 2825, 750, 100
	rotation 0, 0, 0.92388, 0.382683
	scan True
	search_distance 0
	search_position -1525 250 0
	SO_access 24
	so_action e_so_ntl_idle_brush
	trigger_on none
	use_instigator True
´set_slot_machines´ MissionScriptElement 101675
	on_executed
		´input_set_slotmachine_01´ (delay 0)
		´input_set_slotmachine_03´ (delay 0)
		´input_set_slotmachine_04´ (delay 0)
		´input_set_slotmachine_02´ (delay 0)
		´input_set_slotmachine_05´ (delay 0)
		´input_set_slotmachine_06´ (delay 0)
		´input_set_slotmachine_07´ (delay 0)
		´input_set_slotmachine_09´ (delay 0)
		´input_set_slotmachine_010´ (delay 0)
		´input_set_slotmachine_011´ (delay 0)
		´input_set_slotmachine_012´ (delay 0)
		´input_set_slotmachine_013´ (delay 0)
		´input_set_slotmachine_014´ (delay 0)
		´input_set_slotmachine_015´ (delay 0)
		´input_set_slotmachines_pillar´ (delay 0)
´pp_kenaz_bodybags_poolarea´ ElementPrePlanning 101793
	allowed_types
		1 bodybags_bag
	disables_types
	dlc_lock none
	location_group a
	position -4925, -1375, 0
	rotation 0, 0, 0, -1
	upgrade_lock none
´pp_kenaz_bodybags_backalley´ ElementPrePlanning 101794
	allowed_types
		1 bodybags_bag
	disables_types
	dlc_lock none
	location_group a
	position 4000, -1750, 0
	rotation 0, 0, 0, -1
	upgrade_lock none
´pp_kenaz_bodybags_toilet_right´ ElementPrePlanning 101795
	allowed_types
		1 bodybags_bag
	disables_types
	dlc_lock none
	location_group b
	position 3225, -775, 0
	rotation 0, 0, 0, -1
	upgrade_lock none
´pp_kenaz_bodybags_toilet_left´ ElementPrePlanning 101796
	allowed_types
		1 bodybags_bag
	disables_types
	dlc_lock none
	location_group b
	position -2675, -850, 0
	rotation 0, 0, 0, -1
	upgrade_lock none
´spotter_poolarea´ ElementSpotter 101805
	DISABLED
	position -5475, -4125, 550
	rotation 0, 0, 0.707107, -0.707107
´spotter_backyard´ ElementSpotter 101806
	DISABLED
	position 4850, -2624.99, 550
	rotation 0, 0, -0.707107, -0.707107
´pp_kenaz_spoter_poolarea´ ElementPrePlanning 101809
	allowed_types
		1 spotter_des
	disables_types
	dlc_lock none
	location_group a
	position -5475, -4125, 625
	rotation 0, 0, 0.707107, -0.707107
	upgrade_lock none
´pp_kenaz_spoter_backyard´ ElementPrePlanning 101810
	allowed_types
		1 spotter_des
	disables_types
	dlc_lock none
	location_group a
	position 4850, -2624.99, 625
	rotation 0, 0, -0.707107, -0.707107
	upgrade_lock none
´pp_kenaz_gear_case_left_top´ ElementPrePlanning 101811
	allowed_types
		1 kenaz_guitar_case_position
	disables_types
	dlc_lock none
	location_group a
	position -4503, -6175, 100
	rotation 0, 0, 1, -1.19209E-07
	upgrade_lock none
´pp_kenaz_gear_case_left_bottom´ ElementPrePlanning 101812
	allowed_types
		1 kenaz_guitar_case_position
	disables_types
	dlc_lock none
	location_group a
	position -4533.01, -1360, 100
	rotation 0, 0, -6.25849E-07, -1
	upgrade_lock none
´pp_kenaz_gear_case_right_bottom´ ElementPrePlanning 101813
	allowed_types
		1 kenaz_guitar_case_position
	disables_types
	dlc_lock none
	location_group a
	position 2716, -6539, 100
	rotation 0, 0, 0.707107, -0.707107
	upgrade_lock none
´pp_kenaz_gear_case_right_top´ ElementPrePlanning 101814
	allowed_types
		1 kenaz_guitar_case_position
	disables_types
	dlc_lock none
	location_group a
	position 3876, -1228, 100
	rotation 0, 0, -2.68221E-07, -1
	upgrade_lock none
´pp_ilija_the_sniper_poolarea´ ElementPrePlanning 101861
	allowed_types
		1 sniper
	disables_types
	dlc_lock none
	location_group a
	position -5475, -4000, 550
	rotation 0, 0, 0.707107, -0.707107
	upgrade_lock none
´pp_ilija_the_sniper_backyard´ ElementPrePlanning 101862
	allowed_types
		1 sniper
	disables_types
	dlc_lock none
	location_group a
	position 4850, -2849.99, 625
	rotation 0, 0, -0.707107, -0.707107
	upgrade_lock none
´pp_kenaz_spycam_gambling_hall_01´ ElementPrePlanning 101880
	allowed_types
		1 spycam
	disables_types
	dlc_lock none
	location_group b
	position -1681, -2423.02, 1027
	rotation 0.153046, -0.153046, 0.690345, -0.690346
	upgrade_lock none
´pp_kenaz_spycam_gambling_hall_02´ ElementPrePlanning 101881
	allowed_types
		1 spycam
	disables_types
	dlc_lock none
	location_group b
	position 2244, -2223.02, 1027
	rotation 0.153046, 0.153046, -0.690345, -0.690346
	upgrade_lock none
´pp_kenaz_spycam_reception´ ElementPrePlanning 101882
	allowed_types
		1 spycam
	disables_types
	dlc_lock none
	location_group b
	position 75.0001, -6038.29, 447.171
	rotation 9.37456E-08, -0.21644, 0.976296, -4.22859E-07
	upgrade_lock none
´pp_kenaz_spycam_employee_corridor_01´ ElementPrePlanning 101883
	allowed_types
		1 spycam
	disables_types
	dlc_lock none
	location_group b
	position -1950, 1525, 425
	rotation 0, 0, 0.707107, -0.707107
	upgrade_lock none
´pp_kenaz_spycam_employee_corridor_02´ ElementPrePlanning 101884
	allowed_types
		1 spycam
	disables_types
	dlc_lock none
	location_group b
	position 2500, 1725, 425
	rotation 0, 0, -0.707107, -0.707107
	upgrade_lock none
´spycam_gambling_hall_01´ ElementSpotter 101885
	DISABLED
	position -1681, -2423.02, 1027
	rotation 0.153046, -0.153046, 0.690345, -0.690346
´spycam_reception´ ElementSpotter 101887
	DISABLED
	position 75.0001, -6038.29, 447.171
	rotation 9.37456E-08, -0.21644, 0.976296, -4.22859E-07
´spycam_employee_corridor_01´ ElementSpotter 101888
	DISABLED
	position -1950, 1525, 425
	rotation 0, 0, 0.707107, -0.707107
´spycam_employee_corridor_02´ ElementSpotter 101889
	DISABLED
	position 2500, 1725, 425
	rotation 0, 0, -0.707107, -0.707107
´spycam_gambling_hall_02´ ElementSpotter 101886
	DISABLED
	position 2244, -2223.02, 1027
	rotation 0.153046, 0.153046, -0.690345, -0.690346
´pp_kenaz_camera_access_backyard´ ElementPrePlanning 101898
	allowed_types
		1 camera_access
	disables_types
	dlc_lock none
	location_group a
	position 3226, -3500, 150
	rotation 0, 0, 0, -1
	upgrade_lock none
´pp_kenaz_camera_access_poolarea´ ElementPrePlanning 101899
	allowed_types
		1 camera_access
	disables_types
	dlc_lock none
	location_group a
	position -3000, -1537, 150
	rotation 0, 0, 0, -1
	upgrade_lock none
´trg_sniper_area_backyard_01´ ElementAreaTrigger 101940
	DISABLED
	TRIGGER TIMES 1
	amount 1
	depth 1000
	height 500
	instigator enemies
	instigator_name 
	interval 0.1
	position 3750, -1550, 225
	radius 250
	rotation 0, 0, 0, -1
	rules_element_ids
	shape_type box
	spawn_unit_elements
	trigger_on on_enter
	unit_ids
	use_disabled_shapes False
	use_shape_element_ids
	width 1000
´trg_sniper_area_backyard_02´ ElementAreaTrigger 101941
	DISABLED
	TRIGGER TIMES 1
	amount 1
	depth 1000
	height 500
	instigator enemies
	instigator_name 
	interval 0.1
	position 3750, -2225, 225
	radius 250
	rotation 0, 0, 0, -1
	rules_element_ids
	shape_type box
	spawn_unit_elements
	trigger_on on_enter
	unit_ids
	use_disabled_shapes False
	use_shape_element_ids
	width 1000
´trg_sniper_area_backyard_03´ ElementAreaTrigger 101942
	DISABLED
	TRIGGER TIMES 1
	amount 1
	depth 1000
	height 500
	instigator enemies
	instigator_name 
	interval 0.1
	position 3750, -2900, 225
	radius 250
	rotation 0, 0, 0, -1
	rules_element_ids
	shape_type box
	spawn_unit_elements
	trigger_on on_enter
	unit_ids
	use_disabled_shapes False
	use_shape_element_ids
	width 1000
´trg_sniper_area_backyard_04´ ElementAreaTrigger 101943
	DISABLED
	TRIGGER TIMES 1
	amount 1
	depth 1000
	height 500
	instigator enemies
	instigator_name 
	interval 0.1
	position 3025, -2025, 225
	radius 250
	rotation 0, 0, 0, -1
	rules_element_ids
	shape_type box
	spawn_unit_elements
	trigger_on on_enter
	unit_ids
	use_disabled_shapes False
	use_shape_element_ids
	width 1000
´trg_sniper_area_backyard_05´ ElementAreaTrigger 101944
	DISABLED
	TRIGGER TIMES 1
	amount 1
	depth 1000
	height 500
	instigator enemies
	instigator_name 
	interval 0.1
	position 2525, -2900, 225
	radius 250
	rotation 0, 0, 0, -1
	rules_element_ids
	shape_type box
	spawn_unit_elements
	trigger_on on_enter
	unit_ids
	use_disabled_shapes False
	use_shape_element_ids
	width 1000
´trg_sniper_area_backyard_06´ ElementAreaTrigger 101945
	DISABLED
	TRIGGER TIMES 1
	amount 1
	depth 1000
	height 500
	instigator enemies
	instigator_name 
	interval 0.1
	position 3750, -3975, 225
	radius 250
	rotation 0, 0, 0, -1
	rules_element_ids
	shape_type box
	spawn_unit_elements
	trigger_on on_enter
	unit_ids
	use_disabled_shapes False
	use_shape_element_ids
	width 1000
´trg_sniper_area_backyard_07´ ElementAreaTrigger 101946
	DISABLED
	TRIGGER TIMES 1
	amount 1
	depth 1000
	height 500
	instigator enemies
	instigator_name 
	interval 0.1
	position 3050, -5100, 225
	radius 250
	rotation 0, 0, 0, -1
	rules_element_ids
	shape_type box
	spawn_unit_elements
	trigger_on on_enter
	unit_ids
	use_disabled_shapes False
	use_shape_element_ids
	width 1000
´trg_sniper_area_backyard_08´ ElementAreaTrigger 101947
	DISABLED
	TRIGGER TIMES 1
	amount 1
	depth 1000
	height 500
	instigator enemies
	instigator_name 
	interval 0.1
	position 2000, -6925, 225
	radius 250
	rotation 0, 0, 0, -1
	rules_element_ids
	shape_type box
	spawn_unit_elements
	trigger_on on_enter
	unit_ids
	use_disabled_shapes False
	use_shape_element_ids
	width 1000
´trg_sniper_area_backyard_09´ ElementAreaTrigger 101948
	DISABLED
	TRIGGER TIMES 1
	amount 1
	depth 1000
	height 500
	instigator enemies
	instigator_name 
	interval 0.1
	position 2000, -7925, 225
	radius 250
	rotation 0, 0, 0, -1
	rules_element_ids
	shape_type box
	spawn_unit_elements
	trigger_on on_enter
	unit_ids
	use_disabled_shapes False
	use_shape_element_ids
	width 1000
´trg_sniper_area_backyard_10´ ElementAreaTrigger 101949
	DISABLED
	TRIGGER TIMES 1
	amount 1
	depth 1000
	height 500
	instigator enemies
	instigator_name 
	interval 0.1
	position 725, -7925, 225
	radius 250
	rotation 0, 0, 0, -1
	rules_element_ids
	shape_type box
	spawn_unit_elements
	trigger_on on_enter
	unit_ids
	use_disabled_shapes False
	use_shape_element_ids
	width 1000
´trg_sniper_area_pool_area_01´ ElementAreaTrigger 101950
	DISABLED
	TRIGGER TIMES 1
	amount 1
	depth 1000
	height 500
	instigator enemies
	instigator_name 
	interval 0.1
	position -3500, -1125, 225
	radius 250
	rotation 0, 0, 0, -1
	rules_element_ids
	shape_type box
	spawn_unit_elements
	trigger_on on_enter
	unit_ids
	use_disabled_shapes False
	use_shape_element_ids
	width 1000
´trg_sniper_area_pool_area_02´ ElementAreaTrigger 101951
	DISABLED
	TRIGGER TIMES 1
	amount 1
	depth 1000
	height 500
	instigator enemies
	instigator_name 
	interval 0.1
	position -3500, -2125, 225
	radius 250
	rotation 0, 0, 0, -1
	rules_element_ids
	shape_type box
	spawn_unit_elements
	trigger_on on_enter
	unit_ids
	use_disabled_shapes False
	use_shape_element_ids
	width 1000
´trg_sniper_area_pool_area_03´ ElementAreaTrigger 101953
	DISABLED
	TRIGGER TIMES 1
	amount 1
	depth 2000
	height 500
	instigator enemies
	instigator_name 
	interval 0.1
	position -4475, -3050, 225
	radius 250
	rotation 0, 0, 0, -1
	rules_element_ids
	shape_type box
	spawn_unit_elements
	trigger_on on_enter
	unit_ids
	use_disabled_shapes False
	use_shape_element_ids
	width 2000
´trg_sniper_area_pool_area_04´ ElementAreaTrigger 101954
	DISABLED
	TRIGGER TIMES 1
	amount 1
	depth 2000
	height 500
	instigator enemies
	instigator_name 
	interval 0.1
	position -4475, -5125, 225
	radius 250
	rotation 0, 0, 0, -1
	rules_element_ids
	shape_type box
	spawn_unit_elements
	trigger_on on_enter
	unit_ids
	use_disabled_shapes False
	use_shape_element_ids
	width 2000
´trg_sniper_area_pool_area_05´ ElementAreaTrigger 101955
	DISABLED
	TRIGGER TIMES 1
	amount 1
	depth 1000
	height 500
	instigator enemies
	instigator_name 
	interval 0.1
	position -1775, -7000, 225
	radius 250
	rotation 0, 0, 0, -1
	rules_element_ids
	shape_type box
	spawn_unit_elements
	trigger_on on_enter
	unit_ids
	use_disabled_shapes False
	use_shape_element_ids
	width 1000
´trg_sniper_area_pool_area_06´ ElementAreaTrigger 101956
	DISABLED
	TRIGGER TIMES 1
	amount 1
	depth 1000
	height 500
	instigator enemies
	instigator_name 
	interval 0.1
	position -1775, -8000, 225
	radius 250
	rotation 0, 0, 0, -1
	rules_element_ids
	shape_type box
	spawn_unit_elements
	trigger_on on_enter
	unit_ids
	use_disabled_shapes False
	use_shape_element_ids
	width 1000
´trg_sniper_area_pool_area_07´ ElementAreaTrigger 101957
	DISABLED
	TRIGGER TIMES 1
	amount 1
	depth 2000
	height 500
	instigator enemies
	instigator_name 
	interval 0.1
	position -2800, -3325, 225
	radius 250
	rotation 0, 0, 0, -1
	rules_element_ids
	shape_type box
	spawn_unit_elements
	trigger_on on_enter
	unit_ids
	use_disabled_shapes False
	use_shape_element_ids
	width 2000
´trg_sniper_area_pool_area_08´ ElementAreaTrigger 101958
	DISABLED
	TRIGGER TIMES 1
	amount 1
	depth 1000
	height 500
	instigator enemies
	instigator_name 
	interval 0.1
	position -2300, -4625, 225
	radius 250
	rotation 0, 0, 0, -1
	rules_element_ids
	shape_type box
	spawn_unit_elements
	trigger_on on_enter
	unit_ids
	use_disabled_shapes False
	use_shape_element_ids
	width 1000
´trg_sniper_area_pool_area_09´ ElementAreaTrigger 101959
	DISABLED
	TRIGGER TIMES 1
	amount 1
	depth 1000
	height 500
	instigator enemies
	instigator_name 
	interval 0.1
	position -2300, -5775, 225
	radius 250
	rotation 0, 0, 0, -1
	rules_element_ids
	shape_type box
	spawn_unit_elements
	trigger_on on_enter
	unit_ids
	use_disabled_shapes False
	use_shape_element_ids
	width 1000
´trg_sniper_area_pool_area_10´ ElementAreaTrigger 101960
	DISABLED
	TRIGGER TIMES 1
	amount 1
	depth 1000
	height 500
	instigator enemies
	instigator_name 
	interval 0.1
	position -2300, -6925, 225
	radius 250
	rotation 0, 0, 0, -1
	rules_element_ids
	shape_type box
	spawn_unit_elements
	trigger_on on_enter
	unit_ids
	use_disabled_shapes False
	use_shape_element_ids
	width 1000
´sound_sniper_poolarea_shot´ ElementPlaySound 101952
	DISABLED
	append_prefix False
	interrupt True
	position -5425, -4000, 550
	rotation 0, 0, 0.707107, -0.707107
	sound_event sniper_npc1c_1shot
	use_instigator False
´sound_sniper_backyard_shot´ ElementPlaySound 101961
	DISABLED
	append_prefix False
	interrupt True
	position 4800, -2849.99, 625
	rotation 0, 0, -0.707107, -0.707107
	sound_event sniper_npc1c_1shot
	use_instigator False
´cloaker_03´ ElementSpawnEnemyDummy 102041
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_spook_1/ene_spook_1
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai True
	position -3081.97, -6900.43, 0
	rotation 0, 0, 0.382682, -0.92388
	spawn_action none
	team default
	voice 0
´cloaker_04´ ElementSpawnEnemyDummy 102042
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_spook_1/ene_spook_1
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai True
	position -2921.45, -7060.94, 0
	rotation 0, 0, 0.382682, -0.92388
	spawn_action none
	team default
	voice 0
´cloaker_05´ ElementSpawnEnemyDummy 102043
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_spook_1/ene_spook_1
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai True
	position 2523, -7044, 0
	rotation 0, 0, -0.707107, -0.707107
	spawn_action none
	team default
	voice 0
´cloaker_06´ ElementSpawnEnemyDummy 102044
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_spook_1/ene_spook_1
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai True
	position 2623, -7500, 0
	rotation 0, 0, -0.707107, -0.707107
	spawn_action none
	team default
	voice 0
´cloaker_07´ ElementSpawnEnemyDummy 102045
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_spook_1/ene_spook_1
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai True
	position 3673.35, -4720, 2.92028E-07
	rotation 5.16238E-10, 5.16238E-10, -0.707107, -0.707107
	spawn_action none
	team default
	voice 0
´cloaker_08´ ElementSpawnEnemyDummy 102046
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_spook_1/ene_spook_1
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai True
	position 3673.35, -4158, 2.92028E-07
	rotation 5.16238E-10, 5.16238E-10, -0.707107, -0.707107
	spawn_action none
	team default
	voice 0
´gage_package_001´ MissionScriptElement 102071
	position 3281.7, -1232.97, 0
	rotation 0, 0, 0.382681, -0.92388
´gage_package_002´ MissionScriptElement 102072
	position 3013.99, -5229.97, 0
	rotation 0, 0, 0.382681, -0.92388
´gage_package_003´ MissionScriptElement 102073
	position -5305, -4022, 0
	rotation 0, 0, 0.92388, 0.382683
´gage_package_004´ MissionScriptElement 102074
	position -3952, -971, 0
	rotation 0, 0, -0.382685, -0.923879
´gage_package_005´ MissionScriptElement 102075
	position 2824, -1680, 0
	rotation 0, 0, 0.92388, 0.382683
´gage_package_006´ MissionScriptElement 102076
	position -1862.19, -2148.13, 600
	rotation 0, 0, 0.382684, -0.923879
´gage_package_007´ MissionScriptElement 102077
	position 2734.81, -819.14, 600
	rotation 0, 0, 0.382684, -0.923879
´gage_package_008´ MissionScriptElement 102078
	position 2093.81, -4220.13, 600
	rotation 0, 0, 0.382684, -0.923879
´gage_package_009´ MissionScriptElement 102079
	position 2753.68, -7702.91, 0
	rotation 0, 0, -0.382683, -0.92388
´gage_package_010´ MissionScriptElement 102080
	position 1984.88, -9097.5, -400
	rotation 5.63639E-09, 1.36075E-08, -0.382683, -0.92388
´gage_package_011´ MissionScriptElement 102081
	position -1276, -6546, 0
	rotation 0, 0, 0.923879, -0.382684
´gage_package_012´ MissionScriptElement 102082
	position 1577, -6252, 0
	rotation 0, 0, 0.923879, -0.382684
´gage_package_015´ MissionScriptElement 102085
	position 2944, -394.994, 300
	rotation 0, 0, 0.92388, 0.382681
´gage_package_016´ MissionScriptElement 102086
	position -2893, -408.019, 300
	rotation 0, 0, 0.92388, 0.382681
´gage_package_017´ MissionScriptElement 102087
	position 4043, -1933, 0
	rotation 0, 0, -0.382685, -0.923879
´gage_package_018´ MissionScriptElement 102088
	position 503, 1997, 700
	rotation 0, 0, -0.382683, -0.92388
´gage_package_019´ MissionScriptElement 102089
	position -5058, -3086, 0
	rotation 0, 0, 0.92388, 0.382683
´gage_package_021´ MissionScriptElement 102091
	position 2255.81, -4402.14, 600
	rotation 0, 0, 0.382684, -0.923879
´gage_package_022´ MissionScriptElement 102092
	position 1750, 2366, 100
	rotation 0, 0, 0.92388, -0.382683
´gage_package_023´ MissionScriptElement 102093
	position -3336, -3738, -200
	rotation 0, 0, -0.382683, -0.92388
´gage_package_024´ MissionScriptElement 102094
	position 1588.99, -6518.99, 702
	rotation 0, 0, -0.382686, -0.923878
´gage_package_025´ MissionScriptElement 102095
	position 2088.94, 2244.01, 600
	rotation 0, 0, -0.382686, -0.923878
´gage_package_026´ MissionScriptElement 102096
	position -1544.06, 2128.99, 600
	rotation 0, 0, -0.382686, -0.923878
´gage_package_027´ MissionScriptElement 102097
	position -338.836, 2160.85, 701.999
	rotation 4.399E-09, 3.04634E-07, 0.382679, -0.923881
´gage_package_028´ MissionScriptElement 102098
	position 365.251, -5551.15, 800.002
	rotation 4.399E-09, 3.04634E-07, 0.382679, -0.923881
´security_camera_employees_only_left_FEED´ ElementAccessCamera 101070
	DISABLED
	camera_u_id 100201
	pitch_limit 25
	position -1395.05, 344.266, 250
	rotation 1.51584E-07, -0.21644, 0.976296, -6.83753E-07
	text_id debug_none
	yaw_limit 25
´security_camera_employees_only_right_FEED´ ElementAccessCamera 101071
	DISABLED
	camera_u_id 100736
	pitch_limit 25
	position 1957.87, 543.573, 262.5
	rotation 0.0396715, -0.186639, 0.933583, -0.30334
	text_id debug_none
	yaw_limit 25
´security_camera_gambler_left_FEED´ ElementAccessCamera 102116
	DISABLED
	camera_u_id 100178
	pitch_limit 25
	position -1699.73, -1268.37, 255
	rotation 0.142935, -0.0825237, 0.493142, -0.854149
	text_id debug_none
	yaw_limit 25
´security_camera_gambler_right_FEED´ ElementAccessCamera 102117
	DISABLED
	camera_u_id 100181
	pitch_limit 25
	position 2273.72, -2216, 213.536
	rotation 0.140974, 0.140974, -0.692911, -0.692912
	text_id debug_none
	yaw_limit 25
´security_camera_01_FEED´ ElementAccessCamera 102154
	DISABLED
	camera_u_id 100182
	pitch_limit 25
	position 1426.52, -6321.98, 284.471
	rotation 0.204176, -0.113176, 0.268021, -0.934702
	text_id debug_none
	yaw_limit 25
´security_camera_02_FEED´ ElementAccessCamera 102158
	DISABLED
	camera_u_id 100183
	pitch_limit 25
	position -1380.93, -6319.72, 295.194
	rotation 0.135606, 0.031307, -0.222761, -0.964888
	text_id debug_none
	yaw_limit 25
´security_camera_03_FEED´ ElementAccessCamera 102162
	DISABLED
	camera_u_id 100199
	pitch_limit 25
	position -1655.97, -4471.51, 284
	rotation 0.269104, -0.0596586, 0.224401, -0.934702
	text_id debug_none
	yaw_limit 25
´security_camera_04_FEED´ ElementAccessCamera 102166
	DISABLED
	camera_u_id 100200
	pitch_limit 25
